"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"oleic acid","Oleic acid","HMDB0000207","445639","16196","C00712","190","CCCCCCCC\C=C/CCCCCCCC(O)=O","1"
"elaidic acid","Elaidic acid","HMDB0000573","637517","27997","C01712","3406","CCCCCCCC\C=C\CCCCCCCC(O)=O","1"
"stearic acid","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(O)=O","1"
"1-monooleoylglycerol","Monooleoylglycerol","HMDB0094684","5283468","75342","-","-","[H]\C(CCCCCCCC)=C(/[H])CCCCCCCC(=O)OCC(O)CO","1"
"1-monopalmitolylglycerol","","-","-","-","-","-","NA","0"
"xanthine","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"hypoxanthine","Hypoxanthine","-","135398638","-","-","-","","1"
"adenosine","Adenosine","HMDB0000050","60961","16335","C00212","86","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"adenine","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"uracil","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"phosphoenolpyruvate","Phosphoenolpyruvic acid","HMDB0000263","1005","44897","C00074","5264","OC(=O)C(=C)OP(O)(O)=O","1"
"adenosine-5'-monophosphate","Adenosine monophosphate","HMDB0000045","6083","16027","C00020","5111","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"ribose-5-phosphate","D-Ribose 5-phosphate","HMDB0001548","439167","52742","C00117","6315","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"trans-cinnamic acid","trans-Cinnamic acid","HMDB0000930","444539","35697","C10438","5880","OC(=O)\C=C\C1=CC=CC=C1","1"
"quinic acid","Quinic acid","HMDB0003072","6508","17521","C00296","3329","OC1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O","1"
"erythrose","Erythrose","-","94176","-","-","-","","1"
"erythrose-4-phosphate","D-Erythrose 4-phosphate","HMDB0001321","122357","48153","C00279","6158","O[C@H](COP(O)(O)=O)[C@@H](O)C=O","1"
"6-phosphgluconate","","-","-","-","-","-","NA","0"
"kynurenine","L-Kynurenine","HMDB0000684","161166","16946","C00328","72","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"mannose (glucose interference)","","-","-","-","-","-","NA","0"
"xylose or isomer","","-","-","-","-","-","NA","0"
"phosphoethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"4-aminobutyrate","Gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334","-","C(CC(=O)O)CN","1"
"B-alanine","Beta-Alanine","HMDB0000056","239","16958","C00099","5119","C(CN)C(=O)O","1"
"pantothenic acid","Pantothenic acid","HMDB0000210","6613","46905","C00864","-","CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"urea","Urea","HMDB0000294","1176","16199","C00086","6","NC(N)=O","1"
"4-hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","18095","C01157","257","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"3-hydroxybutyrate","3-Hydroxybutyric acid","HMDB0000357","441","20067","C01089","125","CC(O)CC(O)=O","1"
"2-hydroxybutyrate","2-Hydroxybutyric acid","HMDB0000008","11266","1148","C05984","3783","CCC(O)C(O)=O","1"
"aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","17475","C00872","-","NC(C(O)=O)C(O)=O","1"
"rythronic acid","","-","-","-","-","-","NA","0"
"zymosterol","Zymosterol intermediate 2","HMDB0006271","92746","18252","C05437","-","[H][C@@](C)(CCC=C(C)C)[C@@]1([H])CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@]1([H])CC3","1"
"ergosterol","Ergosterol","-","444679","-","-","-","","1"
"ergosta-7,22-dien-3Bol","","-","-","-","-","-","NA","0"
"fecosterol","Fecosterol","-","440371","-","-","-","","1"
"episterol","Episterol","-","5283662","-","-","-","","1"
"4-methylzymosterol","","-","-","-","-","-","NA","0"
"ergosta-7-en-3B-ol","","-","-","-","-","-","NA","0"
"lanosterol","Lanosterin","HMDB0001251","246983","16521","C01724","6108","[H][C@@]1(CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@]1([H])CC3)[C@H](C)CCC=C(C)C","1"
"4,4-dimethylzymosterol","4,4-Dimethyl-5a-cholesta-8,24-dien-3-b-ol","HMDB0001286","50990081","18364","C05108","6135","[H][C@@]12CCC([C@H](C)CCC=C(C)C)[C@@]1(C)CCC1=C2CC[C@@]2([H])C(C)(C)[C@@H](O)CC[C@]12C","1"
"glycolic acid","Glycolic acid","HMDB0000115","757","17497","C03547","3219","OCC(O)=O","1"
"2,4-dihydroxybutanoic acid","2,4-Dihydroxybutanoic acid","HMDB0000360","192742","86348","-","5349","OCCC(O)C(O)=O","1"
"threitol","Threitol","-","169019","-","-","-","","1"
"gluconinc acid","","-","-","-","-","-","NA","0"
"uric acid","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"ribitol/xylitol","","-","-","-","-","-","NA","0"
"UMP","Uridine 5'-monophosphate","HMDB0000288","6030","16695","C00105","-","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
